Site,Year,Max,Mean,Min,filled,Seas,SiteYr,SiteSeas,SiteYrSeas,Max.anom,Min.anom,Mean.anom
B1,1991,9.598913043,3.458152174,-2.682608696,0,spring,B1_1991,B1_spring,B1_1991_spring,0.518856519,0.044168079,0.280277827
C1,1991,6.206521739,0.152173913,-5.902173913,0,spring,C1_1991,C1_spring,C1_1991_spring,1.692775621,0.041067547,0.86691382
D1,1991,-1.923913043,-5.967391304,-10.01086957,0,spring,D1_1991,D1_spring,D1_1991_spring,0.505244565,-0.489293478,0.007996894
NOAA,1991,16.77565217,9.761413043,2.747608696,0,spring,NOAA_1991,NOAA_spring,NOAA_1991_spring,0.852818323,0.134002329,0.493268634
A1,1992,14.39771739,8.119565217,1.841304348,0,spring,A1_1992,A1_spring,A1_1992_spring,3.148786041,2.663605116,2.905609399
B1,1992,11.5,5.651630435,-0.19673913,0,spring,B1_1992,B1_spring,B1_1992_spring,2.419943475,2.530037644,2.473756088
C1,1992,10.7173913,4.456521739,-1.804347826,0,spring,C1_1992,C1_spring,C1_1992_spring,6.203645186,4.138893634,5.171261646
D1,1992,-0.467391304,-3.934782609,-7.402173913,0,spring,D1_1992,D1_spring,D1_1992_spring,1.961766304,2.119402174,2.04060559
NOAA,1992,18.52663043,11.20782609,3.888804348,0,spring,NOAA_1992,NOAA_spring,NOAA_1992_spring,2.603796584,1.275197981,1.939681677
A1,1993,12.52728261,6.130217391,-0.267065217,0,spring,A1_1993,A1_spring,A1_1993_spring,1.278351258,0.555235551,0.916261572
B1,1993,10.17804411,3.967390574,-2.243262965,1,spring,B1_1993,B1_spring,B1_1993_spring,1.097987587,0.48351381,0.789516226
C1,1993,7.043478261,0.695652174,-5.652173913,0,spring,C1_1993,C1_spring,C1_1993_spring,2.529732143,0.291067547,1.410392081
D1,1993,-2.684782609,-6.298913043,-9.913043478,0,spring,D1_1993,D1_spring,D1_1993_spring,-0.255625,-0.391467391,-0.323524845
NOAA,1993,16.40706522,9.520652174,2.634456522,0,spring,NOAA_1993,NOAA_spring,NOAA_1993_spring,0.484231366,0.020850155,0.252507764
A1,1994,13.82608696,7.419565217,1.013043478,0,spring,A1_1994,A1_spring,A1_1994_spring,2.577155606,1.835344247,2.205609399
B1,1994,12.51413043,5.364456522,-1.785108696,0,spring,B1_1994,B1_spring,B1_1994_spring,3.43407391,0.941668079,2.186582175
C1,1994,7.630434783,0.967391304,-5.695652174,0,spring,C1_1994,C1_spring,C1_1994_spring,3.116688665,0.247589286,1.682131211
D1,1994,-0.858695652,-4.847826087,-8.836956522,0,spring,D1_1994,D1_spring,D1_1994_spring,1.570461957,0.684619565,1.127562112
NOAA,1994,18.55043478,10.39336957,2.236413043,0,spring,NOAA_1994,NOAA_spring,NOAA_1994_spring,2.627600932,-0.377193323,1.125225155
A1,1995,9.694782609,4.031086957,-1.632608696,0,spring,A1_1995,A1_spring,A1_1995_spring,-1.554148742,-0.810307927,-1.182868862
B1,1995,8.47173913,1.852282609,-4.7675,0,spring,B1_1995,B1_spring,B1_1995_spring,-0.608317395,-2.040723225,-1.325591738
C1,1995,4.902173913,-0.39673913,-5.695652174,0,spring,C1_1995,C1_spring,C1_1995_spring,0.388427795,0.247589286,0.318000776
D1,1995,-3.706521739,-7.211956522,-10.7173913,0,spring,D1_1995,D1_spring,D1_1995_spring,-1.27736413,-1.195815217,-1.236568323
NOAA,1995,14.12021739,7.50576087,0.891630435,0,spring,NOAA_1995,NOAA_spring,NOAA_1995_spring,-1.80261646,-1.721975932,-1.76238354
A1,1996,12.36565217,5.694782609,-0.976086957,0,spring,A1_1996,A1_spring,A1_1996_spring,1.116720824,-0.153786188,0.48082679
B1,1996,10.88336957,3.885326087,-3.11326087,0,spring,B1_1996,B1_spring,B1_1996_spring,1.80331304,-0.386484095,0.70745174
C1,1996,7.076086957,0.760869565,-5.554347826,0,spring,C1_1996,C1_spring,C1_1996_spring,2.562340839,0.388893634,1.475609472
D1,1996,-2.423913043,-5.902173913,-9.380434783,0,spring,D1_1996,D1_spring,D1_1996_spring,0.005244565,0.141141304,0.073214286
NOAA,1996,16.70282609,9.078695652,1.455978261,0,spring,NOAA_1996,NOAA_spring,NOAA_1996_spring,0.779992236,-1.157628106,-0.189448758
A1,1997,12.48836957,5.701521739,-1.085326087,0,spring,A1_1997,A1_spring,A1_1997_spring,1.239438215,-0.263025318,0.48756592
B1,1997,10.49282609,3.66173913,-3.168804348,0,spring,B1_1997,B1_spring,B1_1997_spring,1.412769562,-0.442027573,0.483864783
C1,1997,7,0.652173913,-5.695652174,0,spring,C1_1997,C1_spring,C1_1997_spring,2.486253882,0.247589286,1.36691382
D1,1997,-1.793478261,-5.706521739,-9.619565217,0,spring,D1_1997,D1_spring,D1_1997_spring,0.635679348,-0.09798913,0.26886646
NOAA,1997,16.58358696,9.0075,1.431413043,0,spring,NOAA_1997,NOAA_spring,NOAA_1997_spring,0.660753106,-1.182193323,-0.26064441
A1,1998,12.03043478,5.647826087,-0.734782609,0,spring,A1_1998,A1_spring,A1_1998_spring,0.781503432,0.08751816,0.433870268
B1,1998,10.92282609,3.509130435,-3.904782609,0,spring,B1_1998,B1_spring,B1_1998_spring,1.842769562,-1.178005834,0.331256088
C1,1998,7.065217391,0.402173913,-6.260869565,0,spring,C1_1998,C1_spring,C1_1998_spring,2.551471273,-0.317628106,1.11691382
D1,1998,-1.304347826,-4.831521739,-8.358695652,0,spring,D1_1998,D1_spring,D1_1998_spring,1.124809783,1.162880435,1.14386646
NOAA,1998,16.57,8.785434783,1.000434783,0,spring,NOAA_1998,NOAA_spring,NOAA_1998_spring,0.647166149,-1.613171584,-0.482709627
A1,1999,12.26413043,5.616195652,-1.031847826,0,spring,A1_1999,A1_spring,A1_1999_spring,1.015199084,-0.209547058,0.402239833
B1,1999,10.59847826,2.97173913,-4.655652174,0,spring,B1_1999,B1_spring,B1_1999_spring,1.518421736,-1.928875399,-0.206135217
C1,1999,6.434782609,-0.059782609,-6.554347826,0,spring,C1_1999,C1_spring,C1_1999_spring,1.921036491,-0.611106366,0.654957298
D1,1999,-2.25,-6,-9.75,0,spring,D1_1999,D1_spring,D1_1999_spring,0.179157609,-0.228423913,-0.024611801
NOAA,1999,16.80521739,9.082826087,1.361086957,0,spring,NOAA_1999,NOAA_spring,NOAA_1999_spring,0.88238354,-1.25251941,-0.185318323
A1,2000,14.57836957,7.633695652,0.689130435,0,spring,A1_2000,A1_spring,A1_2000_spring,3.329438215,1.511431203,2.419739833
B1,2000,12.93304348,5.580652174,-1.77173913,0,spring,B1_2000,B1_spring,B1_2000_spring,3.852986953,0.955037644,2.402777827
C1,2000,8.586956522,2.059782609,-4.467391304,0,spring,C1_2000,C1_spring,C1_2000_spring,4.073210404,1.475850155,2.774522516
D1,2000,-0.717391304,-4.722826087,-8.72826087,0,spring,D1_2000,D1_spring,D1_2000_spring,1.711766304,0.793315217,1.252562112
NOAA,2000,18.69108696,10.55195652,2.412391304,0,spring,NOAA_2000,NOAA_spring,NOAA_2000_spring,2.768253106,-0.201215062,1.283812112
A1,2001,13.25728261,6.924347826,0.591304348,0,spring,A1_2001,A1_spring,A1_2001_spring,2.008351258,1.413605116,1.710392007
B1,2001,10.8949989,4.814251986,-1.266494934,1,spring,B1_2001,B1_spring,B1_2001_spring,1.81494238,1.460281841,1.636377638
C1,2001,7.543478261,1.320652174,-4.902173913,0,spring,C1_2001,C1_spring,C1_2001_spring,3.029732143,1.041067547,2.035392081
D1,2001,-1.27173913,-4.739130435,-8.206521739,0,spring,D1_2001,D1_spring,D1_2001_spring,1.157418478,1.315054348,1.236257764
NOAA,2001,16.68652174,9.735434783,2.783913043,0,spring,NOAA_2001,NOAA_spring,NOAA_2001_spring,0.763687888,0.170306677,0.467290373
A1,2002,13.23478261,5.899565217,-1.436304348,0,spring,A1_2002,A1_spring,A1_2002_spring,1.985851258,-0.614003579,0.685609399
B1,2002,11.29762552,4.345549139,-2.606527245,1,spring,B1_2002,B1_spring,B1_2002_spring,2.217568998,0.12024953,1.167674792
C1,2002,7.445652174,0.951086957,-5.543478261,0,spring,C1_2002,C1_spring,C1_2002_spring,2.931906056,0.399763199,1.665826863
D1,2002,-0.706521739,-4.842391304,-8.97826087,0,spring,D1_2002,D1_spring,D1_2002_spring,1.72263587,0.543315217,1.132996894
NOAA,2002,17.13869565,8.7675,0.39576087,0,spring,NOAA_2002,NOAA_spring,NOAA_2002_spring,1.215861801,-2.217845497,-0.50064441
A1,2003,12.71914812,6.561327082,0.403506047,1,spring,A1_2003,A1_spring,A1_2003_spring,1.470216768,1.225806815,1.347371264
B1,2003,10.64368043,4.502251183,-1.639178068,1,spring,B1_2003,B1_spring,B1_2003_spring,1.56362391,1.087598707,1.324376836
C1,2003,6.891304348,0.945652174,-5,0,spring,C1_2003,C1_spring,C1_2003_spring,2.37755823,0.94324146,1.660392081
D1,2003,-2.347826087,-5.842391304,-9.336956522,0,spring,D1_2003,D1_spring,D1_2003_spring,0.081331522,0.184619565,0.132996894
NOAA,2003,17.5423913,10.18413043,2.826413043,0,spring,NOAA_2003,NOAA_spring,NOAA_2003_spring,1.619557453,0.212806677,0.915986025
A1,2004,15.27956522,8.311086957,1.342391304,0,spring,A1_2004,A1_spring,A1_2004_spring,4.030633867,2.164692073,3.097131138
B1,2004,13.97673913,6.237065217,-1.502391304,0,spring,B1_2004,B1_spring,B1_2004_spring,4.896682605,1.224385471,3.05919087
C1,2004,8.5,2.27173913,-3.956521739,0,spring,C1_2004,C1_spring,C1_2004_spring,3.986253882,1.98671972,2.986479037
D1,2004,-0.315217391,-3.760869565,-7.206521739,0,spring,D1_2004,D1_spring,D1_2004_spring,2.113940217,2.315054348,2.214518634
NOAA,2004,18.21391304,10.9573913,3.700108696,0,spring,NOAA_2004,NOAA_spring,NOAA_2004_spring,2.291079193,1.086502329,1.689246894
A1,2005,12.05380435,5.878478261,-0.29673913,0,spring,A1_2005,A1_spring,A1_2005_spring,0.804872997,0.525561638,0.664522442
B1,2005,10.94782609,4.041847826,-2.864130435,0,spring,B1_2005,B1_spring,B1_2005_spring,1.867769562,-0.13735366,0.863973479
C1,2005,6.619565217,0.315217391,-5.989130435,0,spring,C1_2005,C1_spring,C1_2005_spring,2.105819099,-0.045888975,1.029957298
D1,2005,-1.673913043,-4.989130435,-8.304347826,0,spring,D1_2005,D1_spring,D1_2005_spring,0.755244565,1.217228261,0.986257764
NOAA,2005,16.3425,9.380652174,2.419021739,0,spring,NOAA_2005,NOAA_spring,NOAA_2005_spring,0.419666149,-0.194584627,0.112507764
A1,2006,13.89097826,6.869456522,-0.153043478,0,spring,A1_2006,A1_spring,A1_2006_spring,2.64204691,0.66925729,1.655500703
B1,2006,11.85717391,4.571086957,-2.71423913,0,spring,B1_2006,B1_spring,B1_2006_spring,2.777117388,0.012537644,1.393212609
C1,2006,7.826086957,1.418478261,-4.989130435,0,spring,C1_2006,C1_spring,C1_2006_spring,3.312340839,0.954111025,2.133218168
D1,2006,-0.967391304,-4.782608696,-8.597826087,0,spring,D1_2006,D1_spring,D1_2006_spring,1.461766304,0.92375,1.192779503
NOAA,2006,18.49597826,10.5423913,2.587934783,0,spring,NOAA_2006,NOAA_spring,NOAA_2006_spring,2.57314441,-0.025671584,1.274246894
A1,2007,14.16391304,7.527717391,0.891413043,0,spring,A1_2007,A1_spring,A1_2007_spring,2.914981693,1.713713812,2.313761572
B1,2007,12.21097826,5.345543478,-1.519021739,0,spring,B1_2007,B1_spring,B1_2007_spring,3.130921736,1.207755036,2.167669131
C1,2007,8.464295409,2.316847826,-3.831195652,0,spring,C1_2007,C1_spring,C1_2007_spring,3.950549291,2.112045807,3.031587733
D1,2007,0.869565217,-3.206521739,-7.282608696,0,spring,D1_2007,D1_spring,D1_2007_spring,3.298722826,2.238967391,2.76886646
NOAA,2007,17.5301087,10.26347826,2.9975,0,spring,NOAA_2007,NOAA_spring,NOAA_2007_spring,1.607274845,0.383893634,0.995333851
A1,2008,11.83086957,4.87173913,-2.087608696,0,spring,A1_2008,A1_spring,A1_2008_spring,0.581938215,-1.265307927,-0.342216688
B1,2008,9.834021739,2.73423913,-4.365543478,0,spring,B1_2008,B1_spring,B1_2008_spring,0.753965214,-1.638766703,-0.443635217
C1,2008,5.454830918,-0.89076087,-7.236521739,0,spring,C1_2008,C1_spring,C1_2008_spring,0.9410848,-1.29328028,-0.176020963
D1,2008,-2.597826087,-7.119565217,-11.64130435,0,spring,D1_2008,D1_spring,D1_2008_spring,-0.168668478,-2.119728261,-1.144177019
NOAA,2008,16.05934783,8.572717391,1.086304348,0,spring,NOAA_2008,NOAA_spring,NOAA_2008_spring,0.136513975,-1.527302019,-0.695427019
A1,2009,13.74581153,6.941279911,0.136748288,0,spring,A1_2009,A1_spring,A1_2009_spring,2.496880184,0.959049057,1.727324093
B1,2009,8.281319376,3.21670828,-1.847902816,0,spring,B1_2009,B1_spring,B1_2009_spring,-0.798737149,0.878873959,0.038833933
C1,2009,6.641304348,0.510869565,-5.619565217,0,spring,C1_2009,C1_spring,C1_2009_spring,2.12755823,0.323676242,1.225609472
D1,2009,0.32425,-4.359782609,-8.060434783,0,spring,D1_2009,D1_spring,D1_2009_spring,2.753407609,1.461141304,1.61560559
NOAA,2009,17.83815217,10.16880435,2.5,0,spring,NOAA_2009,NOAA_spring,NOAA_2009_spring,1.915318323,-0.113606366,0.900659938
A1,2010,12.90506684,5.917734606,-1.069597626,0,spring,A1_2010,A1_spring,A1_2010_spring,1.656135487,-0.247296858,0.703778787
B1,2010,9.163691163,4.252259998,-0.659171168,0,spring,B1_2010,B1_spring,B1_2010_spring,0.083634638,2.067605607,1.074385651
C1,2010,6.032608696,-0.489130435,-7.010869565,0,spring,C1_2010,C1_spring,C1_2010_spring,1.518862578,-1.067628106,0.225609472
D1,2010,-0.562108696,-5.400532609,-9.385630435,0,spring,D1_2010,D1_spring,D1_2010_spring,1.867048913,0.135945652,0.57485559
NOAA,2010,16.62434783,9.076195652,1.527777778,0,spring,NOAA_2010,NOAA_spring,NOAA_2010_spring,0.701513975,-1.085828589,-0.191948758
A1,2011,12.8544232,6.466413043,0.077942876,0,spring,A1_2011,A1_spring,A1_2011_spring,1.60549185,0.900243645,1.252457225
B1,2011,11.54293478,4.666630435,-2.209673913,0,spring,B1_2011,B1_spring,B1_2011_spring,2.462878258,0.517102862,1.488756088
C1,2011,6.173913043,0.032608696,-6.108695652,0,spring,C1_2011,C1_spring,C1_2011_spring,1.660166925,-0.165454193,0.747348602
D1,2011,-1.172054348,-5.878913043,-9.713173913,0,spring,D1_2011,D1_spring,D1_2011_spring,1.257103261,-0.191597826,0.096475155
NOAA,2011,16.98695652,9.544130435,2.101449275,0,spring,NOAA_2011,NOAA_spring,NOAA_2011_spring,1.064122671,-0.512157091,0.275986025
A1,2012,16.50246824,9.021708686,1.540949134,1,spring,A1_2012,A1_spring,A1_2012_spring,5.253536889,2.363249902,3.807752868
B1,2012,15.42898479,7.253420027,-0.922144738,1,spring,B1_2012,B1_spring,B1_2012_spring,6.348928267,1.804632037,4.07554568
C1,2012,9.467391304,2.016304348,-5.434782609,0,spring,C1_2012,C1_spring,C1_2012_spring,4.953645186,0.508458851,2.731044255
D1,2012,3.001836957,-2.184923913,-6.601478261,0,spring,D1_2012,D1_spring,D1_2012_spring,5.430994565,2.920097826,3.790464286
NOAA,2012,21.22597826,12.74956522,4.269565217,0,spring,NOAA_2012,NOAA_spring,NOAA_2012_spring,5.30314441,1.655958851,3.481420807
A1,2013,11.54044151,4.786296846,-1.96784782,1,spring,A1_2013,A1_spring,A1_2013_spring,0.291510162,-1.145547051,-0.427658973
B1,2013,8.890663043,2.938478261,-3.013706522,0,spring,B1_2013,B1_spring,B1_2013_spring,-0.189393481,-0.286929747,-0.239396086
C1,2013,4.592391304,-2.225543478,-9.043478261,0,spring,C1_2013,C1_spring,C1_2013_spring,0.078645186,-3.100236801,-1.510803571
D1,2013,-2.224982942,-6.489829849,-10.21828545,0,spring,D1_2013,D1_spring,D1_2013_spring,0.204174667,-0.696709364,-0.51444165
NOAA,2013,16.18978261,8.513586957,0.833586957,0,spring,NOAA_2013,NOAA_spring,NOAA_2013_spring,0.266948758,-1.78001941,-0.754557453
A1,2014,12.80477174,6.484521739,0.164271739,0,spring,A1_2014,A1_spring,A1_2014_spring,1.555840389,0.986572508,1.27056592
B1,2014,10.43159783,4.352086957,-1.727423913,0,spring,B1_2014,B1_spring,B1_2014_spring,1.351541301,0.999352862,1.174212609
C1,2014,7.737173913,1.378695652,-4.979782609,0,spring,C1_2014,C1_spring,C1_2014_spring,3.223427795,0.963458851,2.093435559
D1,2014,-0.678195652,-5.077275326,-8.804434783,0,spring,D1_2014,D1_spring,D1_2014_spring,1.750961957,0.717141304,0.898112873
NOAA,2014,17.82619565,9.984347826,2.137608696,0,spring,NOAA_2014,NOAA_spring,NOAA_2014_spring,1.903361801,-0.475997671,0.716203416
A1,2015,12.27577174,6.307561594,1.037195652,0,spring,A1_2015,A1_spring,A1_2015_spring,1.026840389,1.859496421,1.093605775
B1,2015,10.58675,4.884679348,-0.817391304,0,spring,B1_2015,B1_spring,B1_2015_spring,1.506693475,1.909385471,1.706805001
C1,2015,8.392315217,2.262663043,-3.86698913,0,spring,C1_2015,C1_spring,C1_2015_spring,3.878569099,2.076252329,2.97740295
D1,2015,-0.902639369,-4.49805557,-8.080693999,0,spring,D1_2015,D1_spring,D1_2015_spring,1.52651824,1.440882088,1.477332629
NOAA,2015,16.8236715,9.722222222,2.620772947,0,spring,NOAA_2015,NOAA_spring,NOAA_2015_spring,0.900837647,0.00716658,0.454077812
A1,2016,11.42583696,5.637436594,0.377195652,0,spring,A1_2016,A1_spring,A1_2016_spring,0.176905606,1.199496421,0.423480775
B1,2016,9.110880435,3.307561594,-1.736978261,0,spring,B1_2016,B1_spring,B1_2016_spring,0.03082391,0.989798514,0.129687247
C1,2016,6.137935007,-0.331935931,-6.801806869,0,spring,C1_2016,C1_spring,C1_2016_spring,1.624188889,-0.858565409,0.382803976
D1,2016,-3.371381164,-6.997496178,-10.62361119,0,spring,D1_2016,D1_spring,D1_2016_spring,-0.942223555,-1.102035105,-1.022107979
NOAA,2016,16.32246377,9.208937198,2.095410628,0,spring,NOAA_2016,NOAA_spring,NOAA_2016_spring,0.399629917,-0.518195738,-0.059207212
A1,2017,13.81917391,7.398442935,1.402163043,0,spring,A1_2017,A1_spring,A1_2017_spring,2.570242563,2.224463812,2.184487116
B1,2017,11.90298913,5.3011875,-0.341119565,0,spring,B1_2017,B1_spring,B1_2017_spring,2.822932605,2.38565721,2.123313153
C1,2017,7.504315217,1.060412717,-4.562608696,0,spring,C1_2017,C1_spring,C1_2017_spring,2.990569099,1.380632764,1.775152624
D1,2017,-1.097197089,-4.580804125,-8.064411162,0,spring,D1_2017,D1_spring,D1_2017_spring,1.331960519,1.457164925,1.394584073
NOAA,2017,19.02173913,10.91485507,2.807971014,0,spring,NOAA_2017,NOAA_spring,NOAA_2017_spring,3.09890528,0.194364648,1.646710663
A1,2018,13.3641087,7.160905797,1.048315217,0,spring,A1_2018,A1_spring,A1_2018_spring,2.115177345,1.870615986,1.946949978
B1,2018,11.30916304,5.196780344,-0.51248913,0,spring,B1_2018,B1_spring,B1_2018_spring,2.229106519,2.214287644,2.018905997
C1,2018,7.810804348,0.976167391,-5.21975,0,spring,C1_2018,C1_spring,C1_2018_spring,3.29705823,0.72349146,1.690907298
D1,2018,-0.26625,-4.184821848,NA,0,spring,D1_2018,D1_spring,D1_2018_spring,2.162907609,NA,1.790566351
NOAA,2018,18.54468599,10.41062802,2.276570048,0,spring,NOAA_2018,NOAA_spring,NOAA_2018_spring,2.621852139,-0.337036318,1.142483609
A1,2019,10.20241304,4.361971632,-1.139586957,0,spring,A1_2019,A1_spring,A1_2019_spring,-1.046518307,-0.317286188,-0.851984187
B1,2019,9.154,3.069313859,-2.293054348,0,spring,B1_2019,B1_spring,B1_2019_spring,0.073943475,0.433722427,-0.108560488
C1,2019,5.352054348,-0.89853337,-6.542152174,0,spring,C1_2019,C1_spring,C1_2019_spring,0.83830823,-0.598910714,-0.183793463
D1,2019,0.49701087,-3.012076739,-6.135108696,0,spring,D1_2019,D1_spring,D1_2019_spring,2.926168478,3.386467391,2.96331146
NOAA,2019,15.2173913,7.859299517,0.501207729,0,spring,NOAA_2019,NOAA_spring,NOAA_2019_spring,-0.705442547,-2.112398637,-1.408844893
A1,2020,12.87795652,6.479668478,0.368456522,0,spring,A1_2020,A1_spring,A1_2020_spring,1.629025171,1.19075729,1.265712659
B1,2020,11.06575,4.449676178,-1.275891304,0,spring,B1_2020,B1_spring,B1_2020_spring,1.985693475,1.450885471,1.27180183
C1,2020,7.273902174,0.612036196,-5.07873913,0,spring,C1_2020,C1_spring,C1_2020_spring,2.760156056,0.864502329,1.326776102
D1,2020,-0.559880435,-4.732115543,-8.165586957,0,spring,D1_2020,D1_spring,D1_2020_spring,1.869277174,1.35598913,1.243272655
NOAA,2020,17.58454106,9.76147343,1.938405797,0,spring,NOAA_2020,NOAA_spring,NOAA_2020_spring,1.661707212,-0.675200569,0.49332902
A1,2021,11.24252174,5.131618659,-0.496369565,0,spring,A1_2021,A1_spring,A1_2021_spring,-0.006409611,0.325931203,-0.082337159
B1,2021,8.61098913,2.956791214,-2.109413043,0,spring,B1_2021,B1_spring,B1_2021_spring,-0.469067395,0.617363731,-0.221083133
C1,2021,5.098243508,-1.084611926,-6.993256492,0,spring,C1_2021,C1_spring,C1_2021_spring,0.58449739,-1.050015032,-0.369872019
D1,2021,-1.646445652,-5.677442391,-9.353532609,0,spring,D1_2021,D1_spring,D1_2021_spring,0.782711957,0.168043478,0.297945807
NOAA,2021,15.99637681,8.586956522,1.177536232,0,spring,NOAA_2021,NOAA_spring,NOAA_2021_spring,0.073542961,-1.436070135,-0.681187888
A1,2022,10.51926994,6.671011303,2.82275267,1,spring,A1_2022,A1_spring,A1_2022_spring,-0.729661414,3.645053439,1.457055485
B1,2022,8.348945614,4.633171659,0.917397703,1,spring,B1_2022,B1_spring,B1_2022_spring,-0.731110911,3.644174478,1.455297311
C1,2022,0.640186368,0.640186368,0.640186368,0,spring,C1_2022,C1_spring,C1_2022_spring,-3.87355975,6.583427827,1.354926275
D1,2022,NA,NA,NA,1,spring,D1_2022,D1_spring,D1_2022_spring,NA,NA,NA
NOAA,2022,18.20652174,9.577294686,0.948067633,0,spring,NOAA_2022,NOAA_spring,NOAA_2022_spring,2.283687888,-1.665538734,0.309150276
A1,2023,NA,NA,NA,1,spring,A1_2023,A1_spring,A1_2023_spring,NA,NA,NA
B1,2023,NA,NA,NA,1,spring,B1_2023,B1_spring,B1_2023_spring,NA,NA,NA
C1,2023,NA,NA,NA,1,spring,C1_2023,C1_spring,C1_2023_spring,NA,NA,NA
D1,2023,NA,NA,NA,1,spring,D1_2023,D1_spring,D1_2023_spring,NA,NA,NA
NOAA,2023,NA,NA,NA,NA,spring,NOAA_2023,NOAA_spring,NOAA_2023_spring,NA,NA,NA
A1,1953,26.37369565,19.45195652,12.52021739,0,summer,A1_1953,A1_summer,A1_1953_summer,1.675362192,1.611554475,1.645321688
B1,1953,22.8576087,16.44826087,10.03217391,0,summer,B1_1953,B1_summer,B1_1953_summer,0.877146487,1.308403128,1.094005398
C1,1953,18.34782609,11.71195652,5.076086957,0,summer,C1_1953,C1_summer,C1_1953_summer,0.809215839,1.571428571,1.190322205
D1,1953,11.23913043,7.418478261,3.597826087,0,summer,D1_1953,D1_summer,D1_1953_summer,0.568117236,0.776626553,0.672395186
NOAA,1953,29.80065217,22.68184783,15.56130435,0,summer,NOAA_1953,NOAA_summer,NOAA_1953_summer,1.18925854,1.574584627,1.383342391
A1,1954,27.42945652,19.51782609,11.59630435,0,summer,A1_1954,A1_summer,A1_1954_summer,2.731123062,0.687641432,1.711191253
B1,1954,24.12717391,16.68086957,9.227826087,0,summer,B1_1954,B1_summer,B1_1954_summer,2.146711704,0.504055302,1.326614093
C1,1954,17.84782609,10.80434783,3.760869565,0,summer,C1_1954,C1_summer,C1_1954_summer,0.309215839,0.25621118,0.282713509
D1,1954,11.7173913,7.614456522,3.512717391,0,summer,D1_1954,D1_summer,D1_1954_summer,1.046378106,0.691517857,0.868373447
NOAA,1954,30.95369565,23.36076087,15.76717391,0,summer,NOAA_1954,NOAA_summer,NOAA_1954_summer,2.342302019,1.780454193,2.062255435
A1,1955,24.86282609,18.01717391,11.16152174,0,summer,A1_1955,A1_summer,A1_1955_summer,0.164492627,0.252858823,0.210539079
B1,1955,21.17282609,14.95913043,8.738695652,0,summer,B1_1955,B1_summer,B1_1955_summer,-0.807636122,0.014924867,-0.395125037
C1,1955,16.51086957,10.33695652,4.163043478,0,summer,C1_1955,C1_summer,C1_1955_summer,-1.027740683,0.658385093,-0.184677795
D1,1955,10.26804348,6.721086957,3.174130435,0,summer,D1_1955,D1_summer,D1_1955_summer,-0.40296972,0.352930901,-0.024996118
NOAA,1955,28.77630435,21.78108696,14.7848913,0,summer,NOAA_1955,NOAA_summer,NOAA_1955_summer,0.164910714,0.798171584,0.482581522
A1,1956,25.43616932,18.52261199,11.60264161,1,summer,A1_1956,A1_summer,A1_1956_summer,0.737835856,0.693978694,0.715977151
B1,1956,22.49694965,15.83937081,9.175161522,1,summer,B1_1956,B1_summer,B1_1956_summer,0.516487446,0.451390737,0.485115334
C1,1956,17.92391304,10.70108696,3.47826087,0,summer,C1_1956,C1_summer,C1_1956_summer,0.385302795,-0.026397516,0.17945264
D1,1956,11.24282609,7.00423913,2.766086957,0,summer,D1_1956,D1_summer,D1_1956_summer,0.571812888,-0.055112578,0.258156056
NOAA,1956,29.83065217,22.66597826,15.50021739,0,summer,NOAA_1956,NOAA_summer,NOAA_1956_summer,1.21925854,1.513497671,1.367472826
A1,1957,25.91717391,18.90847826,11.88978261,0,summer,A1_1957,A1_summer,A1_1957_summer,1.218840453,0.981119692,1.101843427
B1,1957,22.37934783,15.88847826,9.390869565,0,summer,B1_1957,B1_summer,B1_1957_summer,0.398885618,0.66709878,0.534222789
C1,1957,17.51086957,11.24456522,4.97826087,0,summer,C1_1957,C1_summer,C1_1957_summer,-0.027740683,1.473602484,0.722930901
D1,1957,10.27173913,6.391304348,2.510869565,0,summer,D1_1957,D1_summer,D1_1957_summer,-0.399274068,-0.310329969,-0.354778727
NOAA,1957,29.0523913,21.9751087,14.8976087,0,summer,NOAA_1957,NOAA_summer,NOAA_1957_summer,0.440997671,0.910888975,0.676603261
A1,1958,25.64369565,18.80423913,11.955,0,summer,A1_1958,A1_summer,A1_1958_summer,0.945362192,1.046337084,0.997604296
B1,1958,22.15108696,15.64391304,9.13,0,summer,B1_1958,B1_summer,B1_1958_summer,0.170624748,0.406229215,0.289657572
C1,1958,17.85869565,10.77717391,3.695652174,0,summer,C1_1958,C1_summer,C1_1958_summer,0.320085404,0.190993789,0.255539596
D1,1958,11.22826087,7.326086957,3.423913043,0,summer,D1_1958,D1_summer,D1_1958_summer,0.557247671,0.602713509,0.580003882
NOAA,1958,28.9798913,21.82815217,14.67521739,0,summer,NOAA_1958,NOAA_summer,NOAA_1958_summer,0.368497671,0.688497671,0.529646739
A1,1959,26.44978261,19.39217391,12.32456522,0,summer,A1_1959,A1_summer,A1_1959_summer,1.751449148,1.415902301,1.585539079
B1,1959,22.94456522,16.24173913,9.532173913,0,summer,B1_1959,B1_summer,B1_1959_summer,0.964103009,0.808403128,0.887483659
C1,1959,18.23913043,11.09782609,3.956521739,0,summer,C1_1959,C1_summer,C1_1959_summer,0.700520186,0.451863354,0.57619177
D1,1959,10.69565217,6.798913043,2.902173913,0,summer,D1_1959,D1_summer,D1_1959_summer,0.024638975,0.080974379,0.052829969
