Site,Year,Max,Mean,Min,filled,Seas,SiteYr,SiteSeas,SiteYrSeas,Max.anom,Min.anom,Mean.anom
C1,1960,5.663043478,0.483695652,-4.695652174,0,spring,C1_1960,C1_spring,C1_1960_spring,1.14929736,1.247589286,1.198435559
D1,1960,-2.02173913,-5.663043478,-9.304347826,0,spring,D1_1960,D1_spring,D1_1960_spring,0.407418478,0.217228261,0.31234472
NOAA,1960,16.37086957,9.823152174,3.275869565,0,spring,NOAA_1960,NOAA_spring,NOAA_1960_spring,0.448035714,0.662263199,0.555007764
A1,1961,9.920217391,4.253695652,-1.41423913,0,spring,A1_1961,A1_spring,A1_1961_spring,-1.328713959,-0.591938362,-0.960260167
B1,1961,7.783804348,2.385978261,-3.015,0,spring,B1_1961,B1_spring,B1_1961_spring,-1.296252177,-0.288223225,-0.791896086
C1,1961,4.663043478,-0.184782609,-5.032608696,0,spring,C1_1961,C1_spring,C1_1961_spring,0.14929736,0.910632764,0.529957298
D1,1961,-2.239130435,-5.72826087,-9.217391304,0,spring,D1_1961,D1_spring,D1_1961_spring,0.190027174,0.304184783,0.247127329
NOAA,1961,15.31804348,9.177826087,3.038043478,0,spring,NOAA_1961,NOAA_spring,NOAA_1961_spring,-0.604790373,0.424437112,-0.090318323
A1,1962,12.38304348,6.268586957,0.150978261,0,spring,A1_1962,A1_spring,A1_1962_spring,1.134112128,0.973279029,1.054631138
B1,1962,9.522934783,3.631630435,-2.265,0,spring,B1_1962,B1_spring,B1_1962_spring,0.442878258,0.461776775,0.453756088
C1,1962,5.380434783,0.108695652,-5.163043478,0,spring,C1_1962,C1_spring,C1_1962_spring,0.866688665,0.780197981,0.823435559
D1,1962,-1.923913043,-5.592391304,-9.260869565,0,spring,D1_1962,D1_spring,D1_1962_spring,0.505244565,0.260706522,0.382996894
NOAA,1962,16.41815217,9.800217391,3.182173913,0,spring,NOAA_1962,NOAA_spring,NOAA_1962_spring,0.495318323,0.568567547,0.532072981
A1,1963,13.54836957,6.79173913,0.031413043,0,spring,A1_1963,A1_spring,A1_1963_spring,2.299438215,0.853713812,1.577783312
B1,1963,11.32728261,4.860108696,-1.612826087,0,spring,B1_1963,B1_spring,B1_1963_spring,2.247226084,1.113950688,1.682234349
C1,1963,6.260869565,0.64673913,-4.967391304,0,spring,C1_1963,C1_spring,C1_1963_spring,1.747123447,0.975850155,1.361479037
D1,1963,-0.913913043,-4.535869565,-8.157826087,0,spring,D1_1963,D1_spring,D1_1963_spring,1.515244565,1.36375,1.439518634
NOAA,1963,17.73847826,10.77163043,3.804565217,0,spring,NOAA_1963,NOAA_spring,NOAA_1963_spring,1.81564441,1.190958851,1.503486025
A1,1964,10.5625,4.359565217,-1.843804348,0,spring,A1_1964,A1_spring,A1_1964_spring,-0.68643135,-1.021503579,-0.854390601
B1,1964,8.25326087,2.023478261,-4.209673913,0,spring,B1_1964,B1_spring,B1_1964_spring,-0.826795655,-1.482897138,-1.154396086
C1,1964,3.934782609,-1.380434783,-6.695652174,0,spring,C1_1964,C1_spring,C1_1964_spring,-0.578963509,-0.752410714,-0.665694876
D1,1964,-3.423913043,-7.130434783,-10.83695652,0,spring,D1_1964,D1_spring,D1_1964_spring,-0.994755435,-1.315380435,-1.155046584
NOAA,1964,15.62782609,8.965217391,2.303586957,0,spring,NOAA_1964,NOAA_spring,NOAA_1964_spring,-0.295007764,-0.31001941,-0.302927019
A1,1965,9.572934783,3.53673913,-2.501195652,0,spring,A1_1965,A1_spring,A1_1965_spring,-1.675996568,-1.678894884,-1.677216688
B1,1965,7.131630435,1.375869565,-4.384565217,0,spring,B1_1965,B1_spring,B1_1965_spring,-1.94842609,-1.657788443,-1.802004782
C1,1965,2.880434783,-2.385869565,-7.652173913,0,spring,C1_1965,C1_spring,C1_1965_spring,-1.633311335,-1.708932453,-1.671129658
D1,1965,-3.956521739,-7.233695652,-10.51086957,0,spring,D1_1965,D1_spring,D1_1965_spring,-1.52736413,-0.989293478,-1.258307453
NOAA,1965,14.58152174,8.121304348,1.661630435,0,spring,NOAA_1965,NOAA_spring,NOAA_1965_spring,-1.341312112,-0.951975932,-1.146840062
A1,1966,12.88304348,6.007717391,-0.87076087,0,spring,A1_1966,A1_spring,A1_1966_spring,1.634112128,-0.048460101,0.793761572
B1,1966,11.07728261,4.571413043,-1.938913043,0,spring,B1_1966,B1_spring,B1_1966_spring,1.997226084,0.787863731,1.393538696
C1,1966,6.358695652,0.625,-5.108695652,0,spring,C1_1966,C1_spring,C1_1966_spring,1.844949534,0.834545807,1.339739907
D1,1966,-0.380434783,-4.407608696,-8.434782609,0,spring,D1_1966,D1_spring,D1_1966_spring,2.048722826,1.086793478,1.567779503
NOAA,1966,18.53967391,11.13663043,3.733043478,0,spring,NOAA_1966,NOAA_spring,NOAA_1966_spring,2.616840062,1.119437112,1.868486025
A1,1967,11.40945652,5.548695652,-0.316413043,0,spring,A1_1967,A1_spring,A1_1967_spring,0.160525171,0.505887725,0.334739833
B1,1967,9.768586957,4.033695652,-1.704565217,0,spring,B1_1967,B1_spring,B1_1967_spring,0.688530432,1.022211557,0.855821305
C1,1967,4.652173913,-0.125,-4.902173913,0,spring,C1_1967,C1_spring,C1_1967_spring,0.138427795,1.041067547,0.589739907
D1,1967,-1.858695652,-5.298913043,-8.739130435,0,spring,D1_1967,D1_spring,D1_1967_spring,0.570461957,0.782445652,0.676475155
NOAA,1967,17.06913043,10.18347826,3.297282609,0,spring,NOAA_1967,NOAA_spring,NOAA_1967_spring,1.146296584,0.683676242,0.915333851
A1,1968,10.18206522,3.985434783,-2.213369565,0,spring,A1_1968,A1_spring,A1_1968_spring,-1.066866133,-1.391068797,-1.228521036
B1,1968,8.871956522,2.706304348,-3.46326087,0,spring,B1_1968,B1_spring,B1_1968_spring,-0.208100003,-0.736484095,-0.471569999
C1,1968,4.02173913,-1.190217391,-6.402173913,0,spring,C1_1968,C1_spring,C1_1968_spring,-0.492006988,-0.458932453,-0.475477484
D1,1968,-3.260869565,-6.85326087,-10.44565217,0,spring,D1_1968,D1_spring,D1_1968_spring,-0.831711957,-0.924076087,-0.877872671
NOAA,1968,15.65858696,8.948043478,2.23826087,0,spring,NOAA_1968,NOAA_spring,NOAA_1968_spring,-0.264246894,-0.375345497,-0.320100932
A1,1969,11.04608696,4.893043478,-1.262065217,0,spring,A1_1969,A1_spring,A1_1969_spring,-0.202844394,-0.439764449,-0.320912341
B1,1969,9.707934783,3.67,-2.373804348,0,spring,B1_1969,B1_spring,B1_1969_spring,0.627878258,0.352972427,0.492125653
C1,1969,4.891304348,-0.804347826,-6.5,0,spring,C1_1969,C1_spring,C1_1969_spring,0.37755823,-0.55675854,-0.089607919
D1,1969,-1.47826087,-5.195652174,-8.913043478,0,spring,D1_1969,D1_spring,D1_1969_spring,0.950896739,0.608532609,0.779736025
NOAA,1969,16.37315217,9.724565217,3.07673913,0,spring,NOAA_1969,NOAA_spring,NOAA_1969_spring,0.450318323,0.463132764,0.456420807
A1,1970,9.900652174,3.720978261,-2.457717391,0,spring,A1_1970,A1_spring,A1_1970_spring,-1.348279176,-1.635416623,-1.492977558
B1,1970,7.708695652,1.919347826,-3.872173913,0,spring,B1_1970,B1_spring,B1_1970_spring,-1.371360873,-1.145397138,-1.258526521
C1,1970,3.065217391,-1.793478261,-6.652173913,0,spring,C1_1970,C1_spring,C1_1970_spring,-1.448528727,-0.708932453,-1.078738354
D1,1970,-3.760869565,-7.201086957,-10.64130435,0,spring,D1_1970,D1_spring,D1_1970_spring,-1.331711957,-1.119728261,-1.225698758
NOAA,1970,14.99054348,8.495,1.999782609,0,spring,NOAA_1970,NOAA_spring,NOAA_1970_spring,-0.932290373,-0.613823758,-0.77314441
A1,1971,10.26152617,4.777079209,-0.70736775,1,spring,A1_1971,A1_spring,A1_1971_spring,-0.987405183,0.114933019,-0.43687661
B1,1971,8.152275183,2.700603321,-2.751068541,1,spring,B1_1971,B1_spring,B1_1971_spring,-0.927781342,-0.024291767,-0.477271026
C1,1971,2.576086957,-1.902173913,-6.380434783,0,spring,C1_1971,C1_spring,C1_1971_spring,-1.937659161,-0.437193323,-1.187434006
D1,1971,-2.891304348,-6.625217391,-10.35869565,0,spring,D1_1971,D1_spring,D1_1971_spring,-0.462146739,-0.837119565,-0.649829193
NOAA,1971,15.03923913,8.458369565,1.879021739,0,spring,NOAA_1971,NOAA_spring,NOAA_1971_spring,-0.88359472,-0.734584627,-0.809774845
A1,1972,12.2974306,6.991245116,1.685059628,1,spring,A1_1972,A1_spring,A1_1972_spring,1.048499254,2.507360396,1.777289297
B1,1972,10.17235173,4.915537639,-0.341276453,1,spring,B1_1972,B1_spring,B1_1972_spring,1.092295206,2.385500322,1.737663292
C1,1972,5.164891304,0.897717391,-3.369565217,0,spring,C1_1972,C1_spring,C1_1972_spring,0.651145186,2.573676242,1.612457298
D1,1972,-1.513369565,-4.65826087,-7.803369565,0,spring,D1_1972,D1_spring,D1_1972_spring,0.915788043,1.718206522,1.317127329
NOAA,1972,17.19804348,10.37923913,3.559782609,0,spring,NOAA_1972,NOAA_spring,NOAA_1972_spring,1.275209627,0.946176242,1.11109472
A1,1973,9.946427857,4.483795426,-0.978837004,1,spring,A1_1973,A1_spring,A1_1973_spring,-1.302503493,-0.156536236,-0.730160392
B1,1973,7.867171484,2.431239262,-3.00469296,1,spring,B1_1973,B1_spring,B1_1973_spring,-1.212885041,-0.277916185,-0.746635085
C1,1973,3.217391304,-2.10326087,-7.423913043,0,spring,C1_1973,C1_spring,C1_1973_spring,-1.296354814,-1.480671584,-1.388520963
D1,1973,-3.076086957,-6.201086957,-9.326086957,0,spring,D1_1973,D1_spring,D1_1973_spring,-0.646929348,0.19548913,-0.225698758
NOAA,1973,13.67130435,7.473478261,1.274456522,0,spring,NOAA_1973,NOAA_spring,NOAA_1973_spring,-2.251529503,-1.339149845,-1.794666149
A1,1974,12.78843267,6.634784823,0.481136981,1,spring,A1_1974,A1_spring,A1_1974_spring,1.539501315,1.30343775,1.420829004
B1,1974,10.6514236,4.55265156,-1.546120485,1,spring,B1_1974,B1_spring,B1_1974_spring,1.571367079,1.18065629,1.374777213
C1,1974,5.543478261,0.114130435,-5.315217391,0,spring,C1_1974,C1_spring,C1_1974_spring,1.029732143,0.628024068,0.828870342
D1,1974,-1.25,-4.864130435,-8.47826087,0,spring,D1_1974,D1_spring,D1_1974_spring,1.179157609,1.043315217,1.111257764
NOAA,1974,18.01630435,10.32597826,2.635543478,0,spring,NOAA_1974,NOAA_spring,NOAA_1974_spring,2.093470497,0.021937112,1.057833851
A1,1975,9.656639686,4.084881576,-1.486876534,1,spring,A1_1975,A1_spring,A1_1975_spring,-1.592291664,-0.664575765,-1.129074243
B1,1975,7.551372927,2.009890907,-3.531591113,1,spring,B1_1975,B1_spring,B1_1975_spring,-1.528683598,-0.804814339,-1.16798344
C1,1975,2.760869565,-2.224130435,-7.209021739,0,spring,C1_1975,C1_spring,C1_1975_spring,-1.752876553,-1.26578028,-1.509390528
D1,1975,-4.27326087,-7.669456522,-11.06543478,0,spring,D1_1975,D1_spring,D1_1975_spring,-1.844103261,-1.543858696,-1.694068323
NOAA,1975,14.31445652,7.686847826,1.059456522,0,spring,NOAA_1975,NOAA_spring,NOAA_1975_spring,-1.608377329,-1.554149845,-1.581296584
A1,1976,10.989748,5.203495359,-0.582757279,1,spring,A1_1976,A1_spring,A1_1976_spring,-0.259183353,0.23954349,-0.01046046
B1,1976,8.885632525,3.129415373,-2.626801779,1,spring,B1_1976,B1_spring,B1_1976_spring,-0.194424,0.099974996,-0.048458974
C1,1976,4.46326087,-0.805869565,-6.075,0,spring,C1_1976,C1_spring,C1_1976_spring,-0.050485248,-0.13175854,-0.091129658
D1,1976,-2.934782609,-6.652173913,-10.36956522,0,spring,D1_1976,D1_spring,D1_1976_spring,-0.505625,-0.84798913,-0.676785714
NOAA,1976,15.34402174,8.640326087,1.935,0,spring,NOAA_1976,NOAA_spring,NOAA_1976_spring,-0.578812112,-0.678606366,-0.627818323
A1,1977,11.94349889,5.656661325,-0.630176238,1,spring,A1_1977,A1_spring,A1_1977_spring,0.694567537,0.192124531,0.442705506
B1,1977,9.817665812,3.567173558,-2.683318697,1,spring,B1_1977,B1_spring,B1_1977_spring,0.737609287,0.043458078,0.389299211
C1,1977,5.77173913,-0.217391304,-6.206521739,0,spring,C1_1977,C1_spring,C1_1977_spring,1.257993012,-0.26328028,0.497348602
D1,1977,-2.934782609,-6.858695652,-10.7826087,0,spring,D1_1977,D1_spring,D1_1977_spring,-0.505625,-1.261032609,-0.883307453
NOAA,1977,16.82054348,9.557282609,2.295326087,0,spring,NOAA_1977,NOAA_spring,NOAA_1977_spring,0.897709627,-0.31828028,0.289138199
A1,1978,12.25062944,6.357747301,0.464865157,1,spring,A1_1978,A1_spring,A1_1978_spring,1.001698094,1.287165926,1.143791482
B1,1978,10.14688777,4.29710226,-1.552683255,1,spring,B1_1978,B1_spring,B1_1978_spring,1.06683125,1.174093519,1.119227913
C1,1978,5.282608696,-0.315217391,-5.913043478,0,spring,C1_1978,C1_spring,C1_1978_spring,0.768862578,0.030197981,0.399522516
D1,1978,-0.913043478,-4.309782609,-7.706521739,0,spring,D1_1978,D1_spring,D1_1978_spring,1.51611413,1.815054348,1.66560559
NOAA,1978,16.43054348,9.488043478,2.545434783,0,spring,NOAA_1978,NOAA_spring,NOAA_1978_spring,0.507709627,-0.068171584,0.219899068
A1,1979,11.201571,5.336826833,-0.52791733,1,spring,A1_1979,A1_spring,A1_1979_spring,-0.047360354,0.294383438,0.122871014
B1,1979,9.085701957,3.24449362,-2.596714717,1,spring,B1_1979,B1_spring,B1_1979_spring,0.005645433,0.130062058,0.066619273
