ID,Species,Site,Femur_mm,ClutchSize,EggMass,NOvarioles,NFunctOvarioles,PropFunctOvarioles,Elevation_m,logEggs,ClutchMass_g
RF7 7-5,M. sanguinipes,RedFox,12.98,13,0.00187,28,25,0.89,1577,2.564949357,0.02431
RF20 7-5,M. sanguinipes,RedFox,13.04,19,0.002,28,25,0.89,1577,2.944438979,0.038
RF5,M. sanguinipes,RedFox,13.03,19,0.00234,23,20,0.87,1577,2.944438979,0.044514283
RF1,M. sanguinipes,RedFox,12.88,,,28,24,0.86,1577,,
RF16 7-5,M. sanguinipes,RedFox,13.67,24,0.00195,,,,1577,3.17805383,0.0468
RF6 7-5,M. sanguinipes,RedFox,12.52,,0.00198,,,,1577,,
RF27 7-5,M. sanguinipes,RedFox,13.33,,,,,,1577,,
RF17 7-5,M. sanguinipes,RedFox,12.94,,,,,,1577,,
RF14 7-5,M. sanguinipes,RedFox,12.8,,,,,,1577,,
RF13 7-5,M. sanguinipes,RedFox,13.01,,,,,,1577,,
RF4,M. sanguinipes,RedFox,12.77,,,,,,1577,,
